Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,52
,,,Post-secondary: Diploma/ Certificate,6788
,,,Post-secondary: Sub-degree course,3708
,,,Post-secondary: Degree course,17486
,,,Post-secondary: Post-graduate,6041
,,,Sub-Total,34075
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,14
,,,Post-secondary: Diploma/ Certificate,529
,,,Post-secondary: Sub-degree course,221
,,,Post-secondary: Degree course,2198
,,,Post-secondary: Post-graduate,835
,,,Sub-Total,3797
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,888
,,,Post-secondary: Sub-degree course,413
,,,Post-secondary: Degree course,2367
,,,Post-secondary: Post-graduate,1290
,,,Sub-Total,4958
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,99
,,,Post-secondary: Diploma/ Certificate,627
,,,Post-secondary: Sub-degree course,357
,,,Post-secondary: Degree course,1593
,,,Post-secondary: Post-graduate,908
,,,Sub-Total,3584
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,26
,,,Post-secondary: Diploma/ Certificate,333
,,,Post-secondary: Sub-degree course,163
,,,Post-secondary: Degree course,755
,,,Post-secondary: Post-graduate,401
,,,Sub-Total,1678
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,96
,,,Post-secondary: Diploma/ Certificate,524
,,,Post-secondary: Sub-degree course,407
,,,Post-secondary: Degree course,389
,,,Post-secondary: Post-graduate,74
,,,Sub-Total,1490
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,206
,,,Post-secondary: Diploma/ Certificate,1072
,,,Post-secondary: Sub-degree course,677
,,,Post-secondary: Degree course,3145
,,,Post-secondary: Post-graduate,1668
,,,Sub-Total,6768
,,No schooling,No schooling,171
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,171
,,Sub-Total,No schooling,171
,,,Pre-primary,4065
,,,Primary,14643
,,,Lower secondary,31174
,,,Upper secondary,51868
,,,Matriculation (including Technician level),7662
,,,Craft level education,581
,,,Post-secondary: Diploma/ Certificate,13831
,,,Post-secondary: Sub-degree course,7689
,,,Post-secondary: Degree course,41515
,,,Post-secondary: Post-graduate,18138
,,,Sub-Total,191337
,45 - 49,Secondary and below,No schooling,-
,,,Pre-primary,7201
,,,Primary,19388
,,,Lower secondary,35389
,,,Upper secondary,61303
,,,Matriculation (including Technician level),7536
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,130817
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,120
,,,Post-secondary: Diploma/ Certificate,1537
,,,Post-secondary: Sub-degree course,961
,,,Post-secondary: Degree course,6403
,,,Post-secondary: Post-graduate,2779
,,,Sub-Total,11800
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,23
,,,Post-secondary: Diploma/ Certificate,358
,,,Post-secondary: Sub-degree course,211
,,,Post-secondary: Degree course,1492
,,,Post-secondary: Post-graduate,663
,,,Sub-Total,2747
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,853
,,,Post-secondary: Sub-degree course,480
,,,Post-secondary: Degree course,2209
,,,Post-secondary: Post-graduate,1502
,,,Sub-Total,5044
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,122
,,,Post-secondary: Diploma/ Certificate,6642
,,,Post-secondary: Sub-degree course,3695
,,,Post-secondary: Degree course,13429
,,,Post-secondary: Post-graduate,5186
,,,Sub-Total,29074
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,45
,,,Post-secondary: Diploma/ Certificate,333
,,,Post-secondary: Sub-degree course,216
,,,Post-secondary: Degree course,1368
,,,Post-secondary: Post-graduate,290
,,,Sub-Total,2252
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1056
,,,Post-secondary: Sub-degree course,449
,,,Post-secondary: Degree course,2272
,,,Post-secondary: Post-graduate,997
,,,Sub-Total,4774
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,26
,,,Post-secondary: Diploma/ Certificate,460
,,,Post-secondary: Sub-degree course,297
,,,Post-secondary: Degree course,1124
,,,Post-secondary: Post-graduate,475
,,,Sub-Total,2382
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,23
,,,Post-secondary: Diploma/ Certificate,267
,,,Post-secondary: Sub-degree course,210
,,,Post-secondary: Degree course,534
,,,Post-secondary: Post-graduate,328
,,,Sub-Total,1362
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,75
,,,Post-secondary: Diploma/ Certificate,507
,,,Post-secondary: Sub-degree course,287
,,,Post-secondary: Degree course,404
,,,Post-secondary: Post-graduate,106
,,,Sub-Total,1379
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,220
,,,Post-secondary: Diploma/ Certificate,847
,,,Post-secondary: Sub-degree course,399
,,,Post-secondary: Degree course,2361
,,,Post-secondary: Post-graduate,1208
,,,Sub-Total,5035
,,No schooling,No schooling,230
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,230
,,Sub-Total,No schooling,230
,,,Pre-primary,7201
,,,Primary,19388
,,,Lower secondary,35389
,,,Upper secondary,61303
,,,Matriculation (including Technician level),7536
,,,Craft level education,654
,,,Post-secondary: Diploma/ Certificate,12860
,,,Post-secondary: Sub-degree course,7205
,,,Post-secondary: Degree course,31596
,,,Post-secondary: Post-graduate,13534
,,,Sub-Total,196896
,50 - 54,Secondary and below,No schooling,-
,,,Pre-primary,9799
,,,Primary,31291
,,,Lower secondary,35305
,,,Upper secondary,62556
,,,Matriculation (including Technician level),9384
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,148335
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,151
,,,Post-secondary: Diploma/ Certificate,1435
,,,Post-secondary: Sub-degree course,1037
,,,Post-secondary: Degree course,4680
,,,Post-secondary: Post-graduate,2220
,,,Sub-Total,9523
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,299
,,,Post-secondary: Sub-degree course,160
,,,Post-secondary: Degree course,1021
,,,Post-secondary: Post-graduate,285
,,,Sub-Total,1765
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,929
,,,Post-secondary: Sub-degree course,511
,,,Post-secondary: Degree course,2214
,,,Post-secondary: Post-graduate,1024
,,,Sub-Total,4678
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,48
,,,Post-secondary: Diploma/ Certificate,5618
,,,Post-secondary: Sub-degree course,3408
,,,Post-secondary: Degree course,8088
,,,Post-secondary: Post-graduate,3511
,,,Sub-Total,20673
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,17
,,,Post-secondary: Diploma/ Certificate,412
,,,Post-secondary: Sub-degree course,226
,,,Post-secondary: Degree course,652
,,,Post-secondary: Post-graduate,269
,,,Sub-Total,1576
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,1083
,,,Post-secondary: Sub-degree course,505
,,,Post-secondary: Degree course,2419
,,,Post-secondary: Post-graduate,1102
,,,Sub-Total,5109
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,18
,,,Post-secondary: Diploma/ Certificate,417
,,,Post-secondary: Sub-degree course,229
,,,Post-secondary: Degree course,425
,,,Post-secondary: Post-graduate,321
,,,Sub-Total,1410
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,13
,,,Post-secondary: Diploma/ Certificate,314
,,,Post-secondary: Sub-degree course,198
,,,Post-secondary: Degree course,507
,,,Post-secondary: Post-graduate,189
,,,Sub-Total,1221
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,124
,,,Post-secondary: Diploma/ Certificate,524
,,,Post-secondary: Sub-degree course,238
,,,Post-secondary: Degree course,112
,,,Post-secondary: Post-graduate,49
,,,Sub-Total,1047
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,162
,,,Post-secondary: Diploma/ Certificate,921
,,,Post-secondary: Sub-degree course,560
,,,Post-secondary: Degree course,1736
,,,Post-secondary: Post-graduate,722
,,,Sub-Total,4101
,,No schooling,No schooling,3961
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,3961
,,Sub-Total,No schooling,3961
,,,Pre-primary,9799
,,,Primary,31291
,,,Lower secondary,35305
,,,Upper secondary,62556
,,,Matriculation (including Technician level),9384
,,,Craft level education,533
,,,Post-secondary: Diploma/ Certificate,11952
,,,Post-secondary: Sub-degree course,7072
,,,Post-secondary: Degree course,21854
,,,Post-secondary: Post-graduate,9692
,,,Sub-Total,203399
,55 - 59,Secondary and below,No schooling,-
,,,Pre-primary,13148
,,,Primary,33584
,,,Lower secondary,27308
,,,Upper secondary,39610
,,,Matriculation (including Technician level),5947
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,119597
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,53
,,,Post-secondary: Diploma/ Certificate,637
,,,Post-secondary: Sub-degree course,478
,,,Post-secondary: Degree course,2313
,,,Post-secondary: Post-graduate,1503
,,,Sub-Total,4984
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,189
,,,Post-secondary: Sub-degree course,89
,,,Post-secondary: Degree course,605
,,,Post-secondary: Post-graduate,193
,,,Sub-Total,1076
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,529
,,,Post-secondary: Sub-degree course,332
,,,Post-secondary: Degree course,1026
,,,Post-secondary: Post-graduate,596
,,,Sub-Total,2483
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,58
,,,Post-secondary: Diploma/ Certificate,3007
,,,Post-secondary: Sub-degree course,1663
,,,Post-secondary: Degree course,3783
,,,Post-secondary: Post-graduate,1527
,,,Sub-Total,10038
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,102
,,,Post-secondary: Sub-degree course,150
,,,Post-secondary: Degree course,382
,,,Post-secondary: Post-graduate,131
,,,Sub-Total,765
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,807
,,,Post-secondary: Sub-degree course,408
,,,Post-secondary: Degree course,1280
,,,Post-secondary: Post-graduate,462
,,,Sub-Total,2957
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,8
,,,Post-secondary: Diploma/ Certificate,244
,,,Post-secondary: Sub-degree course,120
,,,Post-secondary: Degree course,314
,,,Post-secondary: Post-graduate,146
,,,Sub-Total,832
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,190
,,,Post-secondary: Sub-degree course,59
,,,Post-secondary: Degree course,250
,,,Post-secondary: Post-graduate,76
,,,Sub-Total,585
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,283
,,,Post-secondary: Sub-degree course,63
,,,Post-secondary: Degree course,96
,,,Post-secondary: Post-graduate,7
,,,Sub-Total,449
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,90
,,,Post-secondary: Diploma/ Certificate,525
,,,Post-secondary: Sub-degree course,258
,,,Post-secondary: Degree course,929
,,,Post-secondary: Post-graduate,408
,,,Sub-Total,2210
,,No schooling,No schooling,5657
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,5657
,,Sub-Total,No schooling,5657
,,,Pre-primary,13148
,,,Primary,33584
,,,Lower secondary,27308
,,,Upper secondary,39610
,,,Matriculation (including Technician level),5947
,,,Craft level education,219
,,,Post-secondary: Diploma/ Certificate,6513
,,,Post-secondary: Sub-degree course,3620
,,,Post-secondary: Degree course,10978
,,,Post-secondary: Post-graduate,5049
,,,Sub-Total,151633
,60 - 64,Secondary and below,No schooling,-
,,,Pre-primary,11187
,,,Primary,20666
,,,Lower secondary,12428
,,,Upper secondary,13707
,,,Matriculation (including Technician level),2271
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,60259
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,22
,,,Post-secondary: Diploma/ Certificate,306
,,,Post-secondary: Sub-degree course,222
,,,Post-secondary: Degree course,1042
,,,Post-secondary: Post-graduate,484
,,,Sub-Total,2076
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,11
,,,Post-secondary: Diploma/ Certificate,86
,,,Post-secondary: Sub-degree course,95
,,,Post-secondary: Degree course,170
,,,Post-secondary: Post-graduate,50
,,,Sub-Total,412
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,210
,,,Post-secondary: Sub-degree course,103
,,,Post-secondary: Degree course,412
,,,Post-secondary: Post-graduate,169
,,,Sub-Total,894
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,17
,,,Post-secondary: Diploma/ Certificate,911
,,,Post-secondary: Sub-degree course,589
,,,Post-secondary: Degree course,1152
,,,Post-secondary: Post-graduate,607
,,,Sub-Total,3276
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,78
,,,Post-secondary: Sub-degree course,11
,,,Post-secondary: Degree course,78
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,167
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,272
,,,Post-secondary: Sub-degree course,232
,,,Post-secondary: Degree course,426
,,,Post-secondary: Post-graduate,130
,,,Sub-Total,1060
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,20
,,,Post-secondary: Diploma/ Certificate,18
,,,Post-secondary: Sub-degree course,59
,,,Post-secondary: Degree course,143
,,,Post-secondary: Post-graduate,47
,,,Sub-Total,287
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,94
,,,Post-secondary: Sub-degree course,93
,,,Post-secondary: Degree course,101
,,,Post-secondary: Post-graduate,37
,,,Sub-Total,325
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,13
,,,Post-secondary: Diploma/ Certificate,44
,,,Post-secondary: Sub-degree course,22
,,,Post-secondary: Degree course,61
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,140
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,98
,,,Post-secondary: Diploma/ Certificate,102
,,,Post-secondary: Sub-degree course,70
,,,Post-secondary: Degree course,281
,,,Post-secondary: Post-graduate,272
,,,Sub-Total,823
,,No schooling,No schooling,5439
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,5439
,,Sub-Total,No schooling,5439
,,,Pre-primary,11187
,,,Primary,20666
,,,Lower secondary,12428
,,,Upper secondary,13707
,,,Matriculation (including Technician level),2271
,,,Craft level education,181
,,,Post-secondary: Diploma/ Certificate,2121
,,,Post-secondary: Sub-degree course,1496
,,,Post-secondary: Degree course,3866
,,,Post-secondary: Post-graduate,1796
,,,Sub-Total,75158
,65+,Secondary and below,No schooling,-
,,,Pre-primary,4834
,,,Primary,6947
,,,Lower secondary,4200
,,,Upper secondary,4968
,,,Matriculation (including Technician level),1125
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,22074
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,23
,,,Post-secondary: Diploma/ Certificate,155
,,,Post-secondary: Sub-degree course,260
,,,Post-secondary: Degree course,373
,,,Post-secondary: Post-graduate,179
,,,Sub-Total,990
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,9
,,,Post-secondary: Diploma/ Certificate,30
,,,Post-secondary: Sub-degree course,9
,,,Post-secondary: Degree course,183
,,,Post-secondary: Post-graduate,47
,,,Sub-Total,278
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,105
,,,Post-secondary: Sub-degree course,161
,,,Post-secondary: Degree course,362
,,,Post-secondary: Post-graduate,101
,,,Sub-Total,729
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,317
,,,Post-secondary: Sub-degree course,128
,,,Post-secondary: Degree course,526
,,,Post-secondary: Post-graduate,129
,,,Sub-Total,1100
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,8
,,,Post-secondary: Sub-degree course,11
,,,Post-secondary: Degree course,36
,,,Post-secondary: Post-graduate,18
,,,Sub-Total,73
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,30
,,,Post-secondary: Sub-degree course,63
,,,Post-secondary: Degree course,386
,,,Post-secondary: Post-graduate,16
,,,Sub-Total,495
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,24
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,85
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,109
,,"Mechanical, electrical, electronic and marine engineering",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,57
,,,Post-secondary: Sub-degree course,21
,,,Post-secondary: Degree course,82
,,,Post-secondary: Post-graduate,28
,,,Sub-Total,188
,,"Textiles, design and other industrial technology",No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,37
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,37
,,Others,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,45
,,,Post-secondary: Diploma/ Certificate,52
,,,Post-secondary: Sub-degree course,55
,,,Post-secondary: Degree course,128
,,,Post-secondary: Post-graduate,42
,,,Sub-Total,322
,,No schooling,No schooling,3066
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Sub-Total,3066
,,Sub-Total,No schooling,3066
,,,Pre-primary,4834
,,,Primary,6947
,,,Lower secondary,4200
,,,Upper secondary,4968
,,,Matriculation (including Technician level),1125
,,,Craft level education,77
,,,Post-secondary: Diploma/ Certificate,778
,,,Post-secondary: Sub-degree course,745
,,,Post-secondary: Degree course,2161
,,,Post-secondary: Post-graduate,560
,,,Sub-Total,29461
,Sub-Total,Secondary and below,No schooling,-
,,,Pre-primary,52324
,,,Primary,138693
,,,Lower secondary,199403
,,,Upper secondary,394879
,,,Matriculation (including Technician level),61564
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,-
,,,Post-secondary: Sub-degree course,-
,,,Post-secondary: Degree course,-
,,,Post-secondary: Post-graduate,-
,,,Total,846863
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,813
,,,Post-secondary: Diploma/ Certificate,18643
,,,Post-secondary: Sub-degree course,14958
,,,Post-secondary: Degree course,74075
