Sex,WorkingAge,FieldOfEducation,EducationalAttainment,Population
,,,Sub-Total,84642
,,Arts and social sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,162
,,,Post-secondary: Diploma/ Certificate,2393
,,,Post-secondary: Sub-degree course,2054
,,,Post-secondary: Degree course,8052
,,,Post-secondary: Post-graduate,3517
,,,Sub-Total,16178
,,Pure sciences,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,37
,,,Post-secondary: Diploma/ Certificate,707
,,,Post-secondary: Sub-degree course,322
,,,Post-secondary: Degree course,4991
,,,Post-secondary: Post-graduate,2571
,,,Sub-Total,8628
,,Teacher training and education science,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,378
,,,Post-secondary: Sub-degree course,369
,,,Post-secondary: Degree course,1293
,,,Post-secondary: Post-graduate,914
,,,Sub-Total,2954
,,Business and commercial studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,10
,,,Post-secondary: Diploma/ Certificate,4457
,,,Post-secondary: Sub-degree course,3169
,,,Post-secondary: Degree course,23240
,,,Post-secondary: Post-graduate,6326
,,,Sub-Total,37202
,,Computer studies,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,70
,,,Post-secondary: Diploma/ Certificate,2902
,,,Post-secondary: Sub-degree course,2187
,,,Post-secondary: Degree course,8937
,,,Post-secondary: Post-graduate,2693
,,,Sub-Total,16789
,,Health,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,-
,,,Post-secondary: Diploma/ Certificate,551
,,,Post-secondary: Sub-degree course,229
,,,Post-secondary: Degree course,1863
,,,Post-secondary: Post-graduate,893
,,,Sub-Total,3536
,,Architecture and construction engineering,No schooling,-
,,,Pre-primary,-
,,,Primary,-
,,,Lower secondary,-
,,,Upper secondary,-
,,,Matriculation (including Technician level),-
,,,Craft level education,296
,,,Post-secondary: Diploma/ Certificate,2692
,,,Post-secondary: Sub-degree course,1612
,,,Post-secondary: Degree course,6908
